日期|+|XBANK事件工单|+|机构号|+|机构|+|归属模块|+|工单状态|+|COUNT(*)
2016-06-13|+|Xbank事件工单|+|2308|+|泉州石狮支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-13|+|Xbank事件工单|+|2605|+|苏州常熟支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|2708|+|青岛即墨支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|2909|+|厦门前埔支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-13|+|Xbank事件工单|+|3001|+|郑州分行营业部|+|老EUSP系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|3007|+|郑州郑花路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|3008|+|郑州建设路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|3101|+|长沙分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-13|+|Xbank事件工单|+|3104|+|长沙星沙支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|3203|+|江阴支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|3306|+|长春卫星支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|3333|+|延边分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|3509|+|南昌县支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-13|+|Xbank事件工单|+|3605|+|邯郸联纺路支行|+|xBank2.0系统|+|已关闭|+|4
2016-06-13|+|Xbank事件工单|+|3900|+|吕梁分行会计业务处理中心|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|4009|+|金融代理|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|4101|+|潍坊分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|4104|+|潍坊寿光支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|4201|+|曲靖分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|4603|+|中山三乡支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-13|+|Xbank事件工单|+|4903|+|如皋支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|5105|+|秦皇岛迎宾路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|5503|+|南宁东盟区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|5510|+|南宁金湖支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-13|+|Xbank事件工单|+|5701|+|嘉兴分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|6901|+|贸易金融部北京分部|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|7902|+|临沂西城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|8401|+|柳州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|8906|+|东莞东城支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-13|+|Xbank事件工单|+|A001|+|拉萨分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|B200|+|遵义分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-13|+|Xbank事件工单|+|B201|+|遵义分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|10
2016-06-14|+|Xbank事件工单|+|0101|+|总行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|0105|+|北京中关村支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0108|+|北京安定门支行|+|BPP系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|0110|+|北京上地支行|+|BPP系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0133|+|北京德胜门支行|+|银保通系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0150|+|北京总部基地支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0163|+|北京昌平支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0201|+|上海分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|0206|+|上海徐汇支行|+|个人外汇交易平台|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0214|+|上海浦江支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0234|+|上海漕河泾支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0234|+|上海漕河泾支行|+|三方存管系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0269|+|上海淮海支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0322|+|广州科技园支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0508|+|武汉花桥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0516|+|武汉青年支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|0532|+|武汉东西湖支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0700|+|杭州分行|+|新二代支付系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0711|+|杭州涌金支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0725|+|绍兴柯桥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0812|+|南京江宁支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|0918|+|太原分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1101|+|重庆分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|1114|+|重庆大渡口支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1124|+|重庆北碚支行|+|安保基础服务平台|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1206|+|西安长安路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1207|+|西安长乐路支行|+|代理业务平台|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1211|+|西安吉祥路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1301|+|贵阳分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1500|+|福州分行|+|验印系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1511|+|福州台江支行|+|BPP系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1605|+|济南经十路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1820|+|深圳高新区支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|1829|+|深圳宝城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1841|+|深圳深圳湾支行|+|老EUSP系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|1907|+|宁波慈溪支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2000|+|成都分行|+|智能签章与集中审计系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2004|+|成都科华支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2029|+|成都铁像寺支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2215|+|昆明东聚支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2300|+|泉州分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2301|+|泉州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2601|+|苏州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2801|+|温州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2806|+|温州新城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2807|+|温州江滨支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2901|+|厦门分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|2909|+|厦门前埔支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|3005|+|郑州商都路支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|3007|+|郑州郑花路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|3007|+|郑州郑花路支行|+|金融IC卡系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|3016|+|郑州九如路支行|+|PE系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|3104|+|长沙星沙支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-14|+|Xbank事件工单|+|3605|+|邯郸联纺路支行|+|xBank2.0系统|+|已关闭|+|5
2016-06-14|+|Xbank事件工单|+|4101|+|潍坊分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|4102|+|潍坊青州支行|+|BPP系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|4104|+|潍坊寿光支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|4105|+|潍坊临朐支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|4201|+|曲靖分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|4301|+|洛阳分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|4307|+|洛阳偃师支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-14|+|Xbank事件工单|+|4604|+|中山小榄支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|5501|+|南宁分行营业部|+|PE系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|5501|+|南宁分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|5504|+|南宁中华路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|5505|+|南宁安吉路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|5601|+|莆田分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|5602|+|莆田涵江支行|+|BPP系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|6501|+|沈阳分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|7603|+|龙岩新罗支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|7701|+|马鞍山分行营业部|+|乐收银综合商务平台|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|8701|+|鄂尔多斯分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|A101|+|揭阳分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-14|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-14|+|Xbank事件工单|+|B701|+|惠州分行营业部|+|新二代支付系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|8
2016-06-15|+|Xbank事件工单|+|0100|+|北京管理部|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0100|+|北京管理部|+|销售作业系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0109|+|北京万寿路支行|+|三方存管系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0134|+|北京电子城支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|0134|+|北京电子城支行|+|交易型理财产品销售系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0139|+|北京南二环支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0152|+|北京国奥支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|0158|+|北京光华支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0173|+|北京常营支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0200|+|上海分行|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|0263|+|上海春申支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0314|+|广州番禺支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|0322|+|广州科技园支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0526|+|武汉东湖开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|4
2016-06-15|+|Xbank事件工单|+|0624|+|大连马栏广场支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0807|+|南京城南支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0814|+|南京大明路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|0814|+|南京大明路支行|+|代收付系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1010|+|石家庄翟营南大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1012|+|石家庄建设北大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1014|+|石家庄联盟路支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|1017|+|石家庄平安南大街支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|1100|+|重庆分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1108|+|重庆加州支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|1122|+|重庆马家岩支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1205|+|西安土门支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|1206|+|西安长安路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1215|+|西安枫林绿洲支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1216|+|西安科技路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1515|+|福州长乐支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1611|+|临沂分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1612|+|济南玉函路支行|+|PBSS系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1619|+|济南市中支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1706|+|汕头澄海支行|+|xBank2.0系统|+|已关闭|+|4
2016-06-15|+|Xbank事件工单|+|1807|+|深圳宝安支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1810|+|深圳深南支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1823|+|深圳五洲支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1833|+|深圳沙井支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|1911|+|宁波海曙支行|+|FDM系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|2006|+|成都东风支行|+|个人外汇交易平台|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|2017|+|成都金牛支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|2102|+|天津滨海支行|+|乐收银综合商务平台|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|2118|+|天津北辰示范园区科技金融支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|2612|+|常熟招商城支行|+|乐收银综合商务平台|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|2903|+|厦门分行集美支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|3003|+|郑州郑汴路支行|+|老EUSP系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|3201|+|无锡分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|3309|+|长春欧亚卖场支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|3401|+|合肥分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|3406|+|合肥屯溪路支行|+|ATM系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|3500|+|南昌分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|3605|+|邯郸联纺路支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|4101|+|潍坊分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|4303|+|洛阳联盟路支行|+|总行国库信息处理系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|4401|+|衡阳分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|4501|+|江门支行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|5001|+|襄阳营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|5500|+|南宁分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|5706|+|嘉兴嘉善支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|6301|+|宝鸡分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|6501|+|沈阳分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|6701|+|珠海分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|7201|+|湘潭支行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|7901|+|临沂城东支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|8200|+|威海分行|+|xBank2.0系统|+|已关闭|+|2
2016-06-15|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|4
2016-06-15|+|Xbank事件工单|+|B701|+|惠州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-15|+|Xbank事件工单|+|C701|+|西宁分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-16|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|10
2016-06-16|+|Xbank事件工单|+|0133|+|北京德胜门支行|+|BPP系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0139|+|北京南二环支行|+|BPP系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0152|+|北京国奥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|01D1|+|北京远洋风景社区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0225|+|上海东门支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0265|+|上海中原支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0309|+|广州白云支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-16|+|Xbank事件工单|+|0373|+|佛山大沥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0504|+|武汉三阳支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0516|+|武汉青年支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-16|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|5
2016-06-16|+|Xbank事件工单|+|0708|+|杭州延安支行|+|BPP系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0708|+|杭州延安支行|+|xBank2.0系统|+|已关闭|+|4
2016-06-16|+|Xbank事件工单|+|0725|+|绍兴柯桥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0804|+|南京新街口支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0808|+|南京汉中路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0900|+|太原分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0901|+|太原五一路支行|+|BPP系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0901|+|太原五一路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|0906|+|太原亲贤街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|1112|+|重庆解放碑支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|1204|+|西安和平路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|1602|+|济南槐荫支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|1606|+|济南历山支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|1607|+|济南高新支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|1607|+|济南高新支行|+|个人外汇交易平台|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|1612|+|济南玉函路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|1620|+|济南领秀城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|1801|+|深圳分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|1814|+|深圳黄金珠宝支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|2006|+|成都东风支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|2106|+|天津海河支行|+|客户资产监管系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|2200|+|昆明分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|2910|+|厦门海沧支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|3000|+|郑州分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|3001|+|郑州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|3101|+|长沙分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|3605|+|邯郸联纺路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|3707|+|常州天宁支行|+|实物黄金销售业务系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|3801|+|镇江支行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|3801|+|镇江支行营业部|+|网银互联系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|3801|+|镇江支行营业部|+|银保通系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|4501|+|江门支行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-16|+|Xbank事件工单|+|4801|+|衡水分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|4907|+|启东吕四支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|5500|+|南宁分行|+|销售作业系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|5706|+|嘉兴嘉善支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|6301|+|宝鸡分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|6704|+|珠海香洲支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-16|+|Xbank事件工单|+|A002|+|拉萨经济技术开发区支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-16|+|Xbank事件工单|+|A002|+|拉萨经济技术开发区支行|+|金融IC卡系统|+|已关闭|+|2
2016-06-16|+|Xbank事件工单|+|A301|+|盘锦分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|C701|+|西宁分行营业部|+|金融IC卡系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|C901|+|日照分行营业部|+|BPP系统|+|已关闭|+|1
2016-06-16|+|Xbank事件工单|+|C901|+|日照分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-17|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|7
2016-06-17|+|Xbank事件工单|+|0000|+|总行团队|+|新二代支付系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0101|+|总行营业部|+|BPP系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0108|+|北京安定门支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0114|+|北京金融街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0118|+|北京朝阳门支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0122|+|北京亚运村支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0128|+|北京奥运村支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0133|+|北京德胜门支行|+|保证金存管银行系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0139|+|北京南二环支行|+|网银互联系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0143|+|北京中关村西区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0203|+|上海市西支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0216|+|上海陆家嘴支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-17|+|Xbank事件工单|+|0232|+|上海普陀支行|+|BPP系统|+|已关闭|+|1
