日期|+|XBANK事件工单|+|机构号|+|机构|+|归属模块|+|工单状态|+|COUNT(*)
2016-06-01|+|Xbank事件工单|+|4603|+|中山三乡支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-01|+|Xbank事件工单|+|5002|+|襄阳襄城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|5509|+|南宁江南支行|+|NPS系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|5604|+|莆田秀屿支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|5605|+|莆田仙游鲤中支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|6503|+|沈阳建设路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|6512|+|沈阳长白岛支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|7403|+|磐石支行|+|(null)|+|实施中|+|1
2016-06-01|+|Xbank事件工单|+|7504|+|台州临海小微企业专营支行|+|ATM系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|7902|+|临沂西城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-02|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|6
2016-06-02|+|Xbank事件工单|+|0101|+|总行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0108|+|北京安定门支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-02|+|Xbank事件工单|+|0113|+|北京首体支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0116|+|北京北太平庄支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0133|+|北京德胜门支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0164|+|北京房山支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0168|+|北京媒体村支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0172|+|北京杏石口支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-02|+|Xbank事件工单|+|0173|+|北京常营支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0200|+|上海分行|+|xBank2.0系统|+|已关闭|+|2
2016-06-02|+|Xbank事件工单|+|0238|+|上海分行宝山支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0321|+|广州海珠支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0322|+|广州科技园支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0402|+|中证登资金结算|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0506|+|武汉桥口支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0515|+|武汉武昌支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0600|+|大连分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0606|+|大连三八广场支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0611|+|大连新华支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-02|+|Xbank事件工单|+|0712|+|杭州莫干山支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|0800|+|南京分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1103|+|重庆高新支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1108|+|重庆加州支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1125|+|重庆巴南支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1203|+|西安高新开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1203|+|西安高新开发区支行|+|代理业务平台|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1207|+|西安长乐路支行|+|(null)|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1213|+|西安东关正街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1308|+|贵阳西南商贸城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1401|+|常德分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1512|+|福州中亭街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1600|+|济南分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1603|+|济南明湖支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1609|+|济南文东支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1800|+|深圳分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1807|+|深圳宝安支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1831|+|深圳龙华支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|1902|+|宁波北仑支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-02|+|Xbank事件工单|+|2109|+|天津河北支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|2200|+|昆明分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|2301|+|泉州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|2612|+|常熟招商城支行|+|乐收银综合商务平台|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|2801|+|温州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|2802|+|温州龙湾支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|2804|+|温州锦绣支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|2813|+|温州苍南支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|2910|+|厦门海沧支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|3060|+|信阳分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|3605|+|邯郸联纺路支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-02|+|Xbank事件工单|+|4004|+|沧州浮阳南大道支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|4601|+|中山分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-02|+|Xbank事件工单|+|5301|+|唐山分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|5304|+|唐山吉祥路小微企业专营支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|5503|+|南宁东盟区支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-02|+|Xbank事件工单|+|5601|+|莆田分行营业部|+|xBank2.0系统|+|已关闭|+|1
