2016-09-28|+|常规修改|+|e支付系统|+|交易数据维护|+|开发中心处理|+|新增业务需求|+|1
2016-09-20|+|常规修改|+|xBank2.0系统|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-09-12|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|3
2016-09-21|+|常规修改|+|直销银行系统|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-09-28|+|常规修改|+|PE系统|+|交易数据维护|+|开发中心处理|+|柜员操作失误|+|1
2016-09-27|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|4
2016-09-02|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|2
2016-09-30|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|3
2016-09-30|+|常规修改|+|PBSS系统|+|交易数据维护|+|开发中心处理|+|新增业务需求|+|1
2016-09-26|+|常规修改|+|金融IC卡系统|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-09-26|+|紧急修改|+|保理系统|+|交易数据维护|+|运维中心审批|+|程序缺陷|+|1
2016-09-22|+|常规修改|+|销售作业系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-09-22|+|紧急修改|+|对公贷款系统|+|交易数据维护|+|开发中心处理|+|程序缺陷|+|1
2016-09-18|+|紧急修改|+|第三方支付系统|+|配置参数维护|+|业务审批|+|业务需求不完善|+|1
2016-09-02|+|常规修改|+|集中运营业务处理系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-22|+|常规修改|+|销售作业系统|+|交易数据维护|+|草稿|+|新增业务需求|+|1
2016-09-28|+|常规修改|+|BPP系统|+|交易数据维护|+|组织审批|+|历史数据问题|+|1
2016-09-28|+|常规修改|+|xBank2.0系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-07|+|常规修改|+|代收付系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-09-29|+|常规修改|+|新风控系统|+|交易数据维护|+|运维中心审批|+|历史数据问题|+|2
2016-09-14|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|数据修改实施|+|程序缺陷|+|1
2016-09-01|+|常规修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-12|+|常规修改|+|零售贷款系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-09-13|+|紧急修改|+|第三方支付系统|+|配置参数维护|+|开发中心处理|+|历史数据问题|+|1
2016-09-28|+|紧急修改|+|(null)|+|交易数据维护|+|已作废|+|新增业务需求|+|1
2016-09-08|+|常规修改|+|金融IC卡系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-09-14|+|常规修改|+|BPP系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-09-30|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|历史数据问题|+|1
2016-09-29|+|紧急修改|+|(null)|+|交易数据维护|+|业务审批|+|(null)|+|1
2016-09-02|+|常规修改|+|新风控系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-29|+|常规修改|+|新风控系统|+|交易数据维护|+|已作废|+|历史数据问题|+|1
2016-09-22|+|紧急修改|+|对公贷款系统|+|交易数据维护|+|草稿|+|新增业务需求|+|1
2016-09-12|+|常规修改|+|BPM系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-21|+|紧急修改|+|(null)|+|配置参数维护|+|已关闭|+|(null)|+|1
2016-09-23|+|常规修改|+|分行特色业务平台|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-09-29|+|紧急修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-09|+|常规修改|+|交易型理财产品销售系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-09-26|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|开发中心处理|+|程序缺陷|+|4
2016-09-14|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|7
2016-09-01|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-29|+|常规修改|+|(null)|+|交易数据维护|+|运维中心处理|+|(null)|+|6
